ensembl_gene_id	Untreated1	Untreated2	Treated1	Treated2
ENSDARG00000027744	2.735346121	3.106112917	6.09581	5.452489162
ENSDARG00000079687	26.42091694	27.30828263	58.9043753	58.13365083
ENSDARG00000006008	32.88109237	30.9378717	54.51608931	70.21146466
ENSDARG00000094072	0.641166481	0.807424332	2.461231964	1.595056242
ENSDARG00000088371	8.247131802	9.604206318	17.83134967	16.52221816
ENSDARG00000074001	14.99589996	15.74270182	36.92415496	26.20111755
ENSDARG00000052700	0.443473616	0.507504686	1.559070638	0.900746631
ENSDARG00000091298	70.32773498	69.40438078	120.0623685	164.7093435
ENSDARG00000038056	3.679902805	3.857760771	8.261477921	7.399396599
ENSDARG00000005593	1.360630223	1.646061519	3.99764322	3.430237719
ENSDARG00000075629	1.218479407	1.178468886	2.399188786	2.733172546
ENSDARG00000078134	1.340201969	1.565063924	3.148179837	2.830941369
ENSDARG00000057789	29.70850348	24.52887941	48.78805008	70.81054642
ENSDARG00000068995	162.2248742	178.7920526	314.5155605	402.0734399
ENSDARG00000091137	0.707010324	0.936685612	1.897883696	1.946013855
ENSDARG00000011640	0.442545936	0.557460668	1.661191107	1.020701191
ENSDARG00000060345	2.762384418	3.541058484	6.644933973	7.361080449
ENSDARG00000090352	2.669075735	2.794867923	9.61183164	5.535189481
ENSDARG00000053709	0.292983048	0.420161959	0.733554716	0.849818682
ENSDARG00000022820	1.491158976	2.090666452	5.619617565	3.796485035
ENSDARG00000095556	19.80493092	19.71111214	38.54645473	50.5526351
ENSDARG00000052497	1.088073273	1.153873601	2.872213094	2.923898504
ENSDARG00000088040	2.191877961	2.814138436	4.368499945	5.656798537
ENSDARG00000002593	8.392571409	7.9488004	15.50900337	21.81596952
ENSDARG00000057460	59.85458316	72.90805701	177.1610422	138.1915323
ENSDARG00000058799	0.209232943	0.173337948	0.522746039	0.529101507
ENSDARG00000030530	0.372584795	0.317912473	0.837984725	0.946038912
ENSDARG00000056292	1.92188747	2.369350381	8.588941326	4.839553852
ENSDARG00000060354	0.751603865	0.714908602	2.333386306	1.761549794
ENSDARG00000038153	3.453312135	3.7219267	8.908772769	10.61934182
ENSDARG00000075161	2.135288976	2.810888853	6.686509726	6.928728621
ENSDARG00000043483	3.639912197	3.084121205	10.69675516	8.145586185
ENSDARG00000076693	212.3264832	261.1092112	607.5290288	538.2141334
ENSDARG00000073874	152.3795982	182.9789309	442.1851699	384.1760918
ENSDARG00000069801	93.70458081	120.0659048	292.9895361	247.0539068
ENSDARG00000087324	166.31002	205.7148145	498.170991	440.3323674
ENSDARG00000088687	277.3476956	344.6789905	846.0220272	742.4263875
ENSDARG00000011076	3.131018557	3.085942472	7.809771214	9.258269403
ENSDARG00000086658	189.2681547	237.6786936	582.3722685	510.7983458
ENSDARG00000021339	0.605504962	0.510120614	1.385127593	2.031422683
ENSDARG00000088823	142.4477385	183.5781572	452.2816843	400.3929085
ENSDARG00000011989	3.247434969	2.714854014	9.718236792	8.220295228
ENSDARG00000069827	104.591947	133.0590965	331.7919354	291.9894347
ENSDARG00000087765	191.6032569	251.0494281	627.1986496	552.5930815
ENSDARG00000086917	158.6879255	202.0373535	507.7354854	439.4716756
ENSDARG00000087301	96.22195082	124.0982693	314.9348846	271.8703836
ENSDARG00000069826	94.40484648	118.468929	306.3524816	253.8926105
ENSDARG00000086912	175.0934952	222.962039	561.8578778	487.0002476
ENSDARG00000087164	220.08112	282.4252352	715.6372485	629.8371337
ENSDARG00000076572	143.0122425	189.1819858	481.4234389	419.4809345
ENSDARG00000076790	115.1328897	146.5580594	370.7622066	321.4187187
ENSDARG00000078918	2.50819448	2.393509009	7.425023897	8.001723167
ENSDARG00000037588	0.245388853	0.34296734	1.394351859	0.785162185
ENSDARG00000091148	213.9636796	268.1547792	715.7402851	618.4565344
ENSDARG00000069792	228.2025545	285.414033	764.213977	665.6680767
ENSDARG00000057536	1.387627908	1.308302392	4.236349835	3.925500821
ENSDARG00000024847	0.127489607	0.116717785	0.504641086	0.313107537
ENSDARG00000073750	215.5227835	272.0599261	733.9751879	637.9466019
ENSDARG00000055539	3.128394132	3.24134149	9.438392056	10.04281047
ENSDARG00000075045	0.595275723	0.829097325	5.009212307	1.518924451
ENSDARG00000093193	0.414928345	0.317363875	1.836837638	1.485637836
ENSDARG00000018266	1.530084352	1.437633082	5.093433142	5.031037231
ENSDARG00000074150	0.110886309	0.100678343	0.583085906	0.31509342
ENSDARG00000053131	0.06112451	0.068400296	0.34897712	0.228344198
ENSDARG00000019532	0.14049875	0.240550622	0.854003087	0.715674371
ENSDARG00000005518	0.25675055	0.325620424	0.940429958	1.132328404
ENSDARG00000032768	0.317202758	0.407512642	2.895747394	0.850262649
ENSDARG00000092719	0.100030307	0.087217686	0.559804282	0.268829704
ENSDARG00000091273	0.6159761	0.824603573	2.527399124	2.377020538
ENSDARG00000092250	0.099710721	0.079035486	0.505065368	0.292706591
ENSDARG00000054797	0.116951922	0.121836502	0.540528444	0.480784943
ENSDARG00000059381	0.117152612	0.156006081	0.742724481	0.465002731
ENSDARG00000002165	0.082058166	0.071547549	0.496098105	0.352847821
ENSDARG00000052626	0.088162304	0.057652368	0.421359551	0.273386139
ENSDARG00000076196	0.083358589	0.059466604	0.44947789	0.231607129
ENSDARG00000074642	0.104198236	0.075324365	0.608838233	0.264693862
ENSDARG00000038378	0.344221938	0.388806648	1.539702137	1.764787937
ENSDARG00000092778	0.106549973	0.096741201	0.731217663	0.326800802
ENSDARG00000095409	0.104365489	0.083386878	0.695762653	0.310686014
ENSDARG00000012126	0.329786641	0.313685596	1.654621562	1.385990238
ENSDARG00000090562	0.104309678	0.099217007	0.482682878	0.385044641
ENSDARG00000078617	0.080831469	0.084978231	0.658990644	0.299728996
ENSDARG00000092704	0.103373687	0.062571545	0.642623822	0.361353748
ENSDARG00000054753	1.020013474	1.529844294	6.446394594	5.137081986
ENSDARG00000076959	0.062585807	0.079373606	0.286337301	0.351922521
ENSDARG00000093365	0.087006469	0.067101557	0.580959225	0.324345711
ENSDARG00000087066	0.194937263	0.236410393	1.524125904	1.179962582
ENSDARG00000074683	0.055189135	0.069992876	0.423833697	0.237311738
ENSDARG00000038894	0.109123971	0.146258358	0.885042566	0.718611022
ENSDARG00000027236	0.088328648	0.134425941	0.825546713	0.555107977
ENSDARG00000033832	5.224462892	5.168285353	21.61385209	24.51830128
ENSDARG00000094570	0.100030307	0.083253245	0.776370902	0.397040793
ENSDARG00000093101	0.087107731	0.067073018	0.703523811	0.341632389
ENSDARG00000012395	1.665884701	1.911309729	14.93412102	10.12849147
ENSDARG00000071394	0.056951562	0.038693598	0.422745269	0.266418926
ENSDARG00000092730	0.045819251	0.105842573	0.577547552	0.545598003
ENSDARG00000069615	0.084931393	0.156183986	0.927019238	0.876486279
ENSDARG00000086374	0.246910251	0.250512478	2.001081775	1.502724014
ENSDARG00000030215	0.030212445	0.02514522	0.488725621	0.206111448
ENSDARG00000042816	1.952692159	2.137159278	29.07281977	33.64632029
ENSDARG00000094798	0.009740779	0.009265209	1.000634712	0.019331574
ENSDARG00000005419	0.027408773	0.069521613	3.820169721	0.693542861
ENSDARG00000041433	0.005011152	0.019065979	0.009825686	2.330620069
