GeneName,Ensembl,Pathway,ExpressionResults_Sample1.txt,ExpressionResults_Sample10.txt,ExpressionResults_Sample2.txt,ExpressionResults_Sample3.txt,ExpressionResults_Sample4.txt,ExpressionResults_Sample5.txt,ExpressionResults_Sample6.txt,ExpressionResults_Sample7.txt,ExpressionResults_Sample8.txt,ExpressionResults_Sample9.txt
Gene_1007,Ens_1001007,DNA_Binding,9.89712519260472,6.3771649757155,7.99819926022897,8.5558758263017,7.17488075241158,7.81756276694726,7.44345602937632,6.58566490811597,5.74222080732743,7.26811392288988
Gene_1008,Ens_1001008,DNA_Binding,7.83908232563122,8.29275752499792,6.21889710505407,5.24301518235593,7.65048054915106,6.92776216059434,8.50579187901248,8.35287044566101,6.3498502404832,7.24683827869839
Gene_1009,Ens_1001009,DNA_Binding,7.86424729692136,7.02929572216501,6.18062948717253,8.31926443817652,9.28621690426189,10.2124082853848,6.7706303177802,9.5945022081768,8.43897227985793,9.23565347474104
Gene_101,Ens_100101,TGFb,6.72620895728693,7.5307946044848,5.73066745948685,4.69285756590162,6.96985675711356,6.99215532882145,7.00523247264861,6.85586665757851,6.5912229038405,5.90067198356461
Gene_1010,Ens_1001010,WntSignaling,5.60920056936053,7.19113705284818,8.91735003890646,8.53631064895571,7.97320673666269,8.49418177542054,8.12608432880783,7.74976305223926,6.76564466272882,7.59784215540771
Gene_1011,Ens_1001011,Glycolysis,8.29875238929805,8.35319122833288,6.52240427936854,8.81662673703602,8.19545185036735,8.87737924044606,6.30869715025799,7.32559272021754,6.60158889261954,6.54623696326404
Gene_1012,Ens_1001012,DNA_Binding,6.51107564820082,7.6721795606028,8.81983894316436,8.86222148093275,6.63985063744035,9.28879545332604,9.03915070001894,8.79960250612147,8.9452847893508,8.95374991998912
Gene_1013,Ens_1001013,Glycolysis,8.04974467017606,8.78997486552271,8.31213345507586,7.30563527171967,9.9839611079542,7.17506860350778,6.45236476042964,7.82312287604014,5.66152831871694,8.70847628940991
Gene_1014,Ens_1001014,DNA_Binding,7.73137934249493,7.58981305206258,6.68258323536189,8.29430560918527,7.33681776780637,6.50959848707446,8.04138342706644,8.82238758799261,8.4344532748678,7.77962130536825
Gene_1015,Ens_1001015,Glycolysis,8.44490458677874,7.49128350016701,6.61155508704298,7.42296132167764,7.90337152304018,8.24667738003929,9.33572341579859,7.09458605151388,8.41484105480925,6.45857423336976
Gene_1016,Ens_1001016,Glycolysis,7.63303668385231,6.86120666042642,9.0902308461867,8.95290743166751,7.647189436221,7.87172151191792,6.9533849977803,7.52322512717845,9.38335507769543,6.5997242773477
Gene_1017,Ens_1001017,DNA_Binding,7.56086239351606,8.59248821963829,6.94022940883497,7.89944708306205,7.57855404217854,7.55264185547188,8.28666151663556,10.3530633467854,7.8722243189206,9.17724902333909
Gene_1018,Ens_1001018,DNA_Binding,7.2125505151306,8.88640512038206,8.83003701198272,6.80897312393511,9.88224517699414,7.50249740278053,7.51415102831884,7.85839203489408,7.64777070638418,6.93199924175099
Gene_1019,Ens_1001019,TGFb,8.46762377109814,7.88938566679502,9.34553635452484,7.87927942334709,7.61472625308793,7.25568573090226,8.44005875724061,6.01869192344784,9.66323244016159,8.31590415125448
Gene_102,Ens_100102,Glycolysis,6.51565801529248,4.46935765300753,6.45488370057933,5.76458386335054,4.39041386969096,8.02285235811312,6.61091166664846,5.22826928813249,5.08979121880741,5.39142104126022
Gene_1020,Ens_1001020,Glycolysis,8.88747777174471,8.07303794423034,8.62697386650837,10.3571802610543,8.84078230372218,8.84882411431398,7.6203813837711,7.63094148438438,8.03650486409137,9.33524477466931
Gene_1021,Ens_1001021,DNA_Binding,6.51086272563291,7.50454670260231,7.49886624662909,7.68952949354547,8.45104004571694,7.6802310112806,7.5796078590952,6.4660281597297,9.21105532232899,7.73907043428554
Gene_1022,Ens_1001022,DNA_Binding,7.11413041124463,7.73984525124834,6.64152763207783,7.78629123314846,8.90868152834185,8.36918751353051,7.92138983461524,8.15647666390684,7.07816708466597,8.25728597410677
Gene_1023,Ens_1001023,DNA_Binding,6.66559139007552,8.3017178155741,8.37449507888393,8.86746236119994,7.64021908603594,8.71475193106633,8.00708809595261,6.53408641038583,8.66924062804916,7.42591451554567
Gene_1024,Ens_1001024,Glycolysis,9.25279008636746,6.20152968288931,9.22998343838423,6.6280280337767,8.37648186856047,8.80997728423921,8.51407190161895,10.3496724051055,8.10271370849804,8.48877056766043
Gene_1025,Ens_1001025,DNA_Binding,8.22051079116622,9.87164976161095,8.63520264757106,6.96760440495787,8.96169819812639,7.71856172545414,8.93187663861133,8.11402763902083,6.80633716307927,6.48552348734319
Gene_1026,Ens_1001026,WntSignaling,5.33735136928607,8.87183588486358,8.93542885938481,6.09307988405676,8.17223734323658,7.24119842156727,8.34755472536669,8.93333494242883,8.43898500477014,8.67258079701324
Gene_1027,Ens_1001027,Glycolysis,5.54663897706264,7.61717635857016,8.23653094665359,9.75168485942962,9.40811900397981,9.65232948979026,6.16084750128616,6.75802183131172,9.32314636891603,5.49112830310431
Gene_1028,Ens_1001028,TGFb,8.39771937429439,8.10211467230156,8.12536301871748,9.54807278956234,7.35610465703717,6.58226386379702,8.33428534604672,10.790388887438,8.40251326342377,7.61613227918713
Gene_1029,Ens_1001029,DNA_Binding,9.02684259533602,8.02362241717826,8.49776576776703,6.71011575351911,8.02456990645532,5.86495522910741,9.73044862909039,8.81395222646882,8.41925077082928,8.45677827606423
Gene_103,Ens_100103,DNA_Binding,6.37938970112202,6.29620393366391,7.02157046071574,5.70996139286282,5.79038923137325,5.00188504297899,6.24137067556583,5.74320254177678,5.55205570744042,6.58799469913632
Gene_1030,Ens_1001030,Glycolysis,10.825176567281,8.18168221257351,9.24445721578877,9.81789501558743,8.49757728000578,6.56751184138233,8.41447679744314,8.60265256438319,6.93087552618181,8.47291967997628
Gene_1031,Ens_1001031,Glycolysis,8.23781457072962,8.79426703422702,7.28467545166205,7.66045741406225,9.24506722627327,8.06459154402599,9.44870914077114,8.92130882595429,7.33561450974042,7.81561932914657
Gene_1032,Ens_1001032,Glycolysis,7.72903465428774,8.70597383231683,9.1861180453832,9.4357859091512,7.71775968845586,9.89417946294363,8.18759440794979,5.47361542483635,8.28467427916851,6.92553207510128
Gene_1033,Ens_1001033,DNA_Binding,8.57155856285373,7.67774526301638,8.68338947656123,7.3330226248476,7.99693106234018,8.78063090144624,6.97468747237184,8.2502141547361,9.25683884341394,8.83572640183024
Gene_1034,Ens_1001034,DNA_Binding,7.00239192483291,8.8471744792987,9.44871577224689,6.63149438765758,9.13180836393554,6.81458882072302,6.71278976446717,8.64036692175999,7.1883443683269,10.1609359028557
Gene_1035,Ens_1001035,DNA_Binding,7.60560398242198,7.84204311370405,7.71668663087164,8.77192366420737,7.26398529428685,8.55212381232884,7.22082349072318,9.94227753130587,7.90820130359432,8.12914229336866
Gene_1036,Ens_1001036,Glycolysis,9.02888169519867,7.0750979061448,10.0236988857576,8.52474136941326,10.4798146647231,6.39262936832316,6.56111007362155,7.43665119607992,8.27086450104117,7.70001888873751
Gene_1037,Ens_1001037,DNA_Binding,7.61059352876577,6.65353578644987,10.1700947671512,7.81170546415851,8.62564877302744,6.95798585248419,8.34914585331887,9.33705466815667,7.03348696331338,8.60861492524941
Gene_1038,Ens_1001038,TGFb,8.49361025796853,7.48263516797495,9.78919537455834,8.9102518219865,8.98882968558847,7.38429044778694,10.4316707473909,7.51491191038431,6.60147713650205,7.24083522194528
Gene_1039,Ens_1001039,Glycolysis,8.70600291082236,8.6375750512747,5.47934248609716,9.22454945427098,8.16628361841244,5.94010907857032,7.89019484016095,7.70902188088224,8.20226062763932,6.82635886211148
Gene_104,Ens_100104,DNA_Binding,6.25469985880521,5.36416553878284,7.51588929051163,7.20075055771958,4.58061464706972,6.83642558872811,5.05887448235178,7.64257750017626,5.17820966283433,5.80355989846293
Gene_1040,Ens_1001040,Glycolysis,9.64414040488282,9.67144766811617,6.71414673388887,8.91631873858348,8.6561512978229,7.26773359823382,8.05357956433248,6.02563033650219,9.30705659162147,7.62396181849797
Gene_1041,Ens_1001041,DNA_Binding,7.81644306582122,6.60328656373917,8.7062019453083,7.09230565839244,10.7427459209645,5.68508006269732,8.19113441836163,8.48011800519967,8.77818569354357,8.20655179484022
Gene_1042,Ens_1001042,TGFb,8.43329887226675,8.12627867430295,7.70400056979897,5.65964354235211,7.93549335979377,9.47353200983314,10.3714655140746,9.15942256318769,7.67177971188137,8.1552867652192
Gene_1043,Ens_1001043,Glycolysis,8.07509270040554,9.18155492257132,8.40863263822942,8.4850642788345,8.93257212255444,7.48146337783962,8.54351752620805,7.00886507321893,7.35295382394445,7.71984536312476
Gene_1044,Ens_1001044,WntSignaling,6.22080173248944,7.17957671208342,7.18088474480011,8.15520480863939,7.85501705313472,8.26205446886265,7.90177206928498,7.99603065743572,7.7211341704758,7.57761848431385
Gene_1045,Ens_1001045,DNA_Binding,6.45456019119421,8.21639314310179,7.35270813899653,6.48871646040605,8.08356187929478,8.53056128431384,7.52484011345938,8.18954358356634,8.88077694249043,8.27735828771547
Gene_1046,Ens_1001046,DNA_Binding,6.64763011110404,8.56042370763656,6.85274411530255,8.62596718701263,8.00374571843853,7.92364436538727,7.51901385058725,6.89222503619106,7.48055065948515,8.4715159104384
Gene_1047,Ens_1001047,DNA_Binding,9.45392275085815,9.58911013465408,8.41252522826027,9.41370892153891,6.49208139243078,7.70902809601659,9.00606497847547,7.53191613852294,7.01135316801968,7.22170508880482
Gene_1048,Ens_1001048,DNA_Binding,5.40155867561001,7.3928992446056,9.20401469189894,8.13577187182201,8.57154015918189,7.49530524251145,8.08509769793223,7.64775731904363,7.07324962218812,6.80729054189403
Gene_1049,Ens_1001049,Glycolysis,8.66772048508578,8.95577605250485,8.28691248563246,6.03657963607785,8.93858468964637,7.5652327957481,8.57050023135022,6.17126809026855,10.2004027196764,9.08304978723489
Gene_105,Ens_100105,TGFb,5.57235961541585,6.30468997159675,4.94786982276113,6.25420354519118,8.18043726886402,7.51814521539895,7.00807504448644,6.17335630280916,5.1227788045031,7.86056003316661
Gene_1050,Ens_1001050,DNA_Binding,8.7779164590471,7.66871423313895,8.27868704550112,8.35998532470786,7.61180907835892,8.12861089730373,8.27191097565198,7.18370121354633,8.58057948570725,8.19767573466318
Gene_1051,Ens_1001051,Glycolysis,8.18547553778106,6.9316836052262,8.78940548003015,8.17930358239372,8.15667292762226,8.40326283128278,9.83902749860329,8.74672934077319,9.30397235544038,8.12508169497648
Gene_1052,Ens_1001052,Glycolysis,7.12194662320642,6.41239582430638,8.41788300483434,8.12610905788049,6.80359184557273,9.26518124744288,8.36818910642579,9.08006321400672,7.61978192819791,7.11504437984623
Gene_1053,Ens_1001053,TGFb,8.07236445440819,8.0015200677063,10.1921806099371,6.18601476006991,10.2231482223049,8.13394504834057,8.28052564892004,9.45187418012371,8.9811946815206,7.69313625023676
Gene_1054,Ens_1001054,Glycolysis,7.83574456329165,7.78747129086489,7.58193393360417,8.14808614697481,9.20952273540812,8.80744983536296,7.02908803946029,7.36430344375111,7.79661961343508,8.2597847404618
Gene_1055,Ens_1001055,DNA_Binding,9.60258826077516,6.84710075018075,9.52398104420952,8.18278060481188,8.67663550339725,7.81249462772741,7.42053757371393,7.7347714662953,6.76792359956506,8.63161278276914
Gene_1056,Ens_1001056,Glycolysis,8.10957318103656,8.10488498582276,9.25560994220857,6.99831710620661,8.35661614776047,7.79697905703606,7.5301652339896,9.14361326047385,7.91259554509055,9.89038748675435
Gene_1057,Ens_1001057,Glycolysis,7.27833525044979,7.69525673512946,7.56803872100713,6.92353370899098,10.9819411060114,8.80118940794818,8.54469320274671,6.02797502815013,6.97484783747303,8.06410314489266
Gene_1058,Ens_1001058,DNA_Binding,6.7207427070957,7.83006672440217,7.7186422626624,9.68528552410447,7.36075786672757,10.0354875612282,7.40994856588971,9.74474831882791,8.46590919789876,6.69034301761966
Gene_1059,Ens_1001059,DNA_Binding,8.05501355444908,7.57670447024552,7.69787923733698,7.79254270793679,8.55011971933,6.56917506473958,8.74890700016346,8.72053152116233,9.10289662756989,7.39937216902171
Gene_106,Ens_100106,WntSignaling,5.86770067123371,7.1771810981966,5.91560137047357,5.21069003583622,6.12202352972442,5.15469434590383,6.04484260385588,6.9554148743548,6.56660475176188,5.45361638474372
Gene_1060,Ens_1001060,WntSignaling,6.92710212215208,8.22299081296891,7.545606159702,6.08979565499429,7.37314262270781,7.81731023899479,8.87367882801942,8.81946066686987,7.40739947606622,7.23010300157622
Gene_1061,Ens_1001061,Glycolysis,7.23441733065191,7.14814217102628,7.55431944806174,7.7324282575044,9.54575187595051,7.83646089193491,8.27275521015329,9.46558818887732,7.3059402461815,7.5085599941277
Gene_1062,Ens_1001062,WntSignaling,5.96433225137866,8.135908714913,7.48828566088907,8.38080357148305,6.70267857290617,7.73540225334478,9.12668257130958,9.02899491632563,6.92696793099278,8.08261763339086
Gene_1063,Ens_1001063,DNA_Binding,8.10922104353084,8.01518823325092,8.21012071312556,7.99621270817038,8.45931408767676,9.43958937344684,8.14617221170612,6.34394918545572,8.43144313942382,6.47437310740978
Gene_1064,Ens_1001064,DNA_Binding,9.66450036471321,6.58811853875953,6.02156206415587,8.0842167907007,6.51877556831539,8.62968121991451,9.46961266347534,5.98418729162511,7.44593078536885,7.25057432477004
Gene_1065,Ens_1001065,DNA_Binding,7.12135176871595,8.6648192542234,5.2949788661452,8.98286895549032,6.06222967655632,7.92747438104378,8.40464902889368,5.58336616164825,9.40395186530935,9.1679116320692
Gene_1066,Ens_1001066,Glycolysis,7.82262711378675,9.01479672044883,9.40206679205038,7.01965896713208,9.60567370438585,6.41542019890266,9.75987896096989,8.70784816006168,8.09789610472975,8.49485985018118
Gene_1067,Ens_1001067,DNA_Binding,8.11294203668054,9.07514486149206,6.97766080680362,7.50043001394108,7.50616574007586,6.55208009161043,6.6614144335355,6.97476463626491,8.91540611997464,7.82498372215408
Gene_1068,Ens_1001068,DNA_Binding,7.26919333733589,6.98431101190636,7.45188780998267,8.91287322208789,8.95117717593078,8.95303374828075,7.07635577434377,8.89751516057692,8.87917160036898,9.00912203171514
Gene_1069,Ens_1001069,WntSignaling,9.63188499192059,8.89465954675321,8.79482082364094,7.3358769930957,9.36746867289278,9.84582820476114,7.29526840401542,7.62684609581386,6.58779847078083,7.45625951493227
Gene_107,Ens_100107,DNA_Binding,6.64598708476382,4.65384105653894,5.46873580426943,6.6307188115901,6.52969286525305,6.3781330086227,6.23451261000908,6.36309579851979,7.53891250438897,4.25559610166275
Gene_1070,Ens_1001070,Glycolysis,6.31338285222121,6.634786605464,8.25934747572372,7.0751988659084,6.59445665258756,9.08190691792717,7.71041881980623,7.77516033319161,5.95953945076551,9.08932855741348
Gene_1071,Ens_1001071,DNA_Binding,8.92387685279062,9.45196923726761,7.07263883571419,8.42801549761669,9.32753564270334,5.88775381660055,7.13442828978422,7.21054613714183,7.50024344365539,7.36744033584588
Gene_1072,Ens_1001072,TGFb,6.79307528979428,8.05478045027091,6.88438221629681,6.94644955695864,6.71873703852512,7.68431024595245,8.78937168259422,6.9286807108119,7.9591221148104,8.75709805339924
Gene_1073,Ens_1001073,DNA_Binding,8.71491609744674,6.57948932909739,8.87810309526665,6.37478995535579,7.47704345432099,8.71191547849155,8.42050298758545,8.40186471362519,9.69323615950102,7.03243645948085
Gene_1074,Ens_1001074,Glycolysis,8.30679370565523,8.93198993308731,7.133985539646,9.14952976087239,6.19034351302521,8.22116489295437,7.8183498978945,8.95218458639076,6.88748441162977,6.43485322031025
Gene_1075,Ens_1001075,Glycolysis,7.44777886555108,6.92909347485103,10.0684192353112,7.52059579487634,6.91714147133111,8.65156833185584,9.03087552995369,6.6507744656043,8.50852242372506,6.72549465847122
Gene_1076,Ens_1001076,Glycolysis,9.43790822248636,9.67546921666529,7.49482656986994,7.11453574171341,8.85185241835099,9.80540315691689,7.66446694556499,10.0263288224251,7.80258339367235,6.72457782025275
Gene_1077,Ens_1001077,DNA_Binding,8.74468225235114,9.16745846783311,8.74500868738075,8.03435023938379,7.73588842486725,8.20843139116923,7.79839918652495,8.46700534714231,7.23475920463994,7.10613478833812
Gene_1078,Ens_1001078,DNA_Binding,9.99707645766205,7.62561757739756,7.1317605596626,7.95810545813889,9.00480204078255,7.41269284115167,8.81125135323331,7.48670468688365,8.74471703099321,7.81244458790387
Gene_1079,Ens_1001079,DNA_Binding,7.92979415450662,6.66788113023089,7.48976820726165,8.88074404430473,7.87271116459384,9.81899840775392,8.00990185478049,6.59595629847913,7.79736647688554,8.60322391740097
Gene_108,Ens_100108,Glycolysis,6.92073869063346,5.81534379271399,7.21136380765926,5.70398428967891,5.35197581285378,7.93580718372255,6.23222296365519,5.80107620743865,6.30119396743148,4.60128138515343
Gene_1080,Ens_1001080,Glycolysis,6.93044496988399,9.17719312469745,8.0767095130961,7.574637110524,7.16950709348376,8.7000640093108,9.28452605142,9.0706409345436,7.49246204727316,8.90506703232486
Gene_1081,Ens_1001081,WntSignaling,7.43237337784219,8.74729084875812,7.58601114701838,9.09264371766366,5.83744155844622,8.22520806517822,7.6024020451898,8.32292124062603,8.01604941919227,9.51121801952242
Gene_1082,Ens_1001082,DNA_Binding,9.59299219313574,9.05543203650004,7.26239963353122,9.2187274102233,8.5791175919324,8.69525542459402,6.0395523015484,6.19429998981516,8.98291241362145,8.98087605677614
Gene_1083,Ens_1001083,TGFb,8.59796196438247,10.4643603847528,9.03993170039988,6.73257441739705,8.74960249800582,8.0125040548711,6.95800135223603,8.5060334011234,7.769407990397,7.26683622378552
Gene_1084,Ens_1001084,TGFb,7.76611086049417,8.587424897912,8.26882668498009,8.62578936209833,8.9452461348276,8.60954280486284,7.87678390710448,7.40749437733912,8.8714703690497,7.94595886756553
Gene_1085,Ens_1001085,WntSignaling,9.42087748155794,7.56500575189917,7.79128674998118,10.3161253307477,8.85448157555975,6.53666320473236,8.37854970840921,8.13165480756657,7.54564124980718,7.05737555507118
Gene_1086,Ens_1001086,DNA_Binding,6.31774210129353,8.46363475417347,9.86006051893878,9.08682058229559,10.0844937210231,8.85946108007047,6.85971555160559,8.9874687617768,9.7457460979365,7.82399631342307
Gene_1087,Ens_1001087,DNA_Binding,8.57603038770166,9.34716424820602,7.53626618808789,6.45239531020202,8.76803617605276,7.71323090498779,8.61554532122634,9.2084167199877,9.47441287598712,6.58845369720794
Gene_1088,Ens_1001088,DNA_Binding,7.92191977953401,8.47569417642602,7.0720961112939,7.03717171362953,5.9711006789784,8.91672936949964,9.07324030671724,8.4509789239255,7.51947746422783,8.45862343824517
Gene_1089,Ens_1001089,DNA_Binding,8.64205789860944,8.78038028236633,10.9564030215625,6.8413655705921,7.73673791448056,6.82182219342669,7.57832385621793,6.74464883076987,7.34612212184001,7.150891108945
Gene_109,Ens_100109,DNA_Binding,6.36115154134043,4.87328337631176,7.10759474473091,7.28193347719568,5.52480116424728,5.22667608891769,7.03048186738101,7.51949726777182,6.13585068960544,7.24030271527009
Gene_1090,Ens_1001090,DNA_Binding,6.67432299592561,8.30464733297972,8.61266170966727,8.46916871884103,7.61945297212715,9.10373235395944,7.82203433006718,7.15583511901155,7.83827443362188,10.6094330106657
Gene_1091,Ens_1001091,TGFb,7.52166062850543,7.02586189182718,10.2344808759136,7.09983648879443,8.87634004902438,7.09625363281454,7.53515729351245,7.26414240318249,7.4028658881692,9.47151890118827
Gene_1092,Ens_1001092,DNA_Binding,9.33821335540109,8.93019943838719,6.43283973453846,6.75089505226722,5.7421942730179,6.72192617624891,8.19139912527416,8.45871198727144,6.8148139364598,9.79140879848238
Gene_1093,Ens_1001093,TGFb,6.25135980370237,7.03418592401917,8.82204959607523,8.27926648851955,9.01594906123421,8.13220683921626,6.75524847906925,8.79194129712227,8.66470855731432,8.13274846482213
Gene_1094,Ens_1001094,DNA_Binding,7.84666307462212,7.6289426514357,9.15872344485744,7.5356811189357,7.91342777193018,8.02221416534154,7.93455402739054,6.51579135287202,10.2974086189691,9.06612924860146
Gene_1095,Ens_1001095,DNA_Binding,7.83872216784576,7.87896436287768,8.65393016869981,7.15024899156356,8.94725492667929,7.53763781913106,7.580897421387,8.86730299917768,8.42294190628287,8.13009365724405
Gene_1096,Ens_1001096,DNA_Binding,8.29586336943278,8.15763295011901,7.05314076729024,8.41085890042551,8.249628661179,7.3081621580359,8.69291317219793,6.83411917399419,7.93312816886344,8.8299126648906
Gene_1097,Ens_1001097,Glycolysis,7.10524306885234,9.12907208476146,7.32767854416385,6.25151027117399,9.4392075178872,6.57326012611421,9.66207316178579,8.56208562902053,6.69917532963979,6.63741060725542
Gene_1098,Ens_1001098,DNA_Binding,8.63181382949245,9.33775829143744,6.37664636765042,8.46525230691584,9.75068187575917,7.23904201123545,9.33218370127633,8.42861576327811,8.43701627457999,10.1033438601182
Gene_1099,Ens_1001099,DNA_Binding,7.26343415453941,9.00315323014251,9.59118238527395,6.03769847493209,9.49250372652829,7.8789248866211,6.7279244271872,6.37682888792531,6.71038032951258,7.15932886919004
Gene_11,Ens_10011,WntSignaling,3.85818051088325,5.96216476998658,5.33673270761127,7.86668015425561,6.0001939398622,5.85592233846559,5.88426114466434,8.43750303365474,7.3932022294247,4.72300779887877
Gene_110,Ens_100110,DNA_Binding,6.14410093531724,5.81321764963442,5.61221450210358,7.42866634234339,5.71888798019783,6.54874181903974,7.26682442514079,6.04114983942342,7.2581565642855,5.56577923189271
Gene_1100,Ens_1001100,DNA_Binding,7.64375962897354,9.44117872675796,6.33240692299065,7.36356101286412,7.53165711374168,7.4559585339159,8.67923992676475,6.56941484010347,7.13847239030377,8.4814497904503
Gene_1101,Ens_1001101,DNA_Binding,7.05900895386083,7.43885451383247,8.72231967693472,7.53360534522384,6.88882760459747,7.53038172446909,6.9548456385073,8.2355270727464,6.6614453761051,8.38347764551335
Gene_1102,Ens_1001102,Glycolysis,8.48437686844165,7.40590570796877,9.02081077944826,8.06190876692433,7.54329685874328,7.98374417551358,7.4713440812104,8.61183895700175,8.21069167026779,7.68746816388167
Gene_1103,Ens_1001103,Glycolysis,7.46417114925616,8.43539188812302,8.55641125547595,8.57768187439457,8.60339427368385,7.04238676632588,8.52113623504447,7.14438807443959,7.81400727007537,7.82999564319226
Gene_1104,Ens_1001104,DNA_Binding,7.29709721396684,7.7862307819803,9.31254031250207,8.35661911006423,9.47569162663276,9.61756267547619,6.25266279674928,8.51706167765755,8.4173893909379,10.2812028267459
Gene_1105,Ens_1001105,TGFb,7.51352281504103,9.22467427088175,7.88449838807082,9.56036469463999,6.40467818807944,5.86515543349575,6.96877633173631,7.64240823538715,9.86192573837368,8.45260898627941
Gene_1106,Ens_1001106,Glycolysis,8.0591885136888,7.86973991131419,9.99910344596156,7.97233221493511,8.01197268427172,9.33660867294564,8.62366785684161,7.57663217531989,7.48985955122629,8.95880327891749
Gene_1107,Ens_1001107,DNA_Binding,7.48966927645919,9.72859296733272,7.63741244136683,8.83523697327915,5.74204913851817,6.84552466864889,6.80623297769233,7.88960134765532,7.41421736012016,7.64015804164724
Gene_1108,Ens_1001108,DNA_Binding,6.10134181644932,7.24413503991004,7.54982802181446,6.67342423711431,8.17775237142004,8.00002843376321,8.19409276227702,7.92254535670763,7.05250345090667,7.3623690751585
Gene_1109,Ens_1001109,DNA_Binding,7.47806188053265,10.061963404089,8.48599528338375,6.76564374148088,7.97691598188453,7.40780465408641,7.24651611110825,6.90352842554656,7.30962526075278,8.0524591737301
Gene_111,Ens_100111,DNA_Binding,7.2878330525142,6.85989426465358,6.90460469679752,4.57976557662542,6.35299205719258,8.9142245607135,6.88294358958751,7.06268933894929,6.39274880234544,6.63909714862121
Gene_1110,Ens_1001110,DNA_Binding,7.36476687794656,8.83884509918868,6.8119637941072,7.78166566705671,8.16228969875646,9.58334280734447,7.13957143128865,7.27752655338293,8.72572397108042,8.06074039590901
Gene_1111,Ens_1001111,Glycolysis,9.85963562425968,7.71861950638673,8.13722446223478,9.60147601128359,7.21288671830589,8.7333429491285,9.08933442895865,7.05978863494346,6.42337258139762,8.5250206712411
Gene_1112,Ens_1001112,DNA_Binding,7.65515957691389,9.89777234396042,6.45058558732802,5.41337604001766,9.03741879383524,6.68468188417251,8.49887982615059,8.45290658607259,9.47145143131532,7.88274879441332
Gene_1113,Ens_1001113,DNA_Binding,8.50492282638687,6.99097671075956,7.09089477361308,7.26618660472825,8.23318393187754,8.11140747006496,7.34354089679826,8.74300411636924,8.0392108052426,7.33116871331138
Gene_1114,Ens_1001114,WntSignaling,6.72463221495401,7.92707804878939,8.88727563238312,7.50924728018552,9.9212550504762,7.95852599566316,7.55153124981425,8.98243053758167,6.87533832038902,5.71793274775407
Gene_1115,Ens_1001115,DNA_Binding,8.17772042652454,8.98125318317339,10.3403191722007,8.49470283737778,8.10616906761393,6.39598110677579,8.18222689277312,6.8451518760084,8.944538997785,6.19723620196675
Gene_1116,Ens_1001116,TGFb,7.90048121223586,9.62421491396286,7.21266642285061,8.32334311009351,8.50928732285539,7.34201823015209,7.43350761111671,6.19982239511076,10.4668638244487,7.57859227500984
Gene_1117,Ens_1001117,DNA_Binding,7.93606061847619,6.25864071659637,7.68658421209591,9.8375448987367,9.30448771113097,8.09667053285961,9.33396419723804,8.07362059515079,7.9479996086875,5.8875685352737
