chr	start	end	strand	ens	Symbol
chr13	41895152	41897152	+	ENSMUSG00000085759	1700061E18Rik
chr1	164477682	164479682	-	ENSMUSG00000026694	Mettl13
chr10	126958491	126960491	-	ENSMUSG00000025403	Shmt2
chr12	77252614	77254614	-	ENSMUSG00000046580	Gm7862
chr14	8581459	8583459	+	ENSMUSG00000084775	Gm16741
chr17	36373304	36375304	-	ENSMUSG00000092363	Gm20391
chr19	6398340	6400340	+	ENSMUSG00000032946	Rasgrp2
chr7	121705486	121707486	-	ENSMUSG00000030670	Cyp2r1
chr11	52095681	52097681	-	ENSMUSG00000000782	Tcf7
chr11	26285135	26287135	+	ENSMUSG00000004018	Fancl
chr11	106611517	106613517	+	ENSMUSG00000040528	Gm885
chr14	35013819	35015819	-	ENSMUSG00000071531	Gprin2
chr11	79842370	79844370	-	ENSMUSG00000086787	Gm16706
chr5	91359222	91361222	+	ENSMUSG00000029376	Mthfd2l
chr6	48625128	48627128	+	ENSMUSG00000051124	Gimap9
chr1	83155327	83157327	+	ENSMUSG00000053161	Wdr69
chr8	122385205	122387205	+	ENSMUSG00000031828	Klhl36
chr5	149807142	149809142	-	ENSMUSG00000085237	Gm15406
chr12	99974615	99976615	-	ENSMUSG00000021009	Ptpn21
chr9	75861999	75863999	-	ENSMUSG00000085159	Gm16662
chr9	57453088	57455088	-	ENSMUSG00000039714	Cplx3
chr13	3476489	3478489	+	ENSMUSG00000086566	2810429I04Rik
chr4	61868480	61870480	-	ENSMUSG00000028389	Zfp37
chr2	90587161	90589161	-	ENSMUSG00000080873	Rpl30-ps3
chr11	112685468	112687468	+	ENSMUSG00000020624	4933434M16Rik
chr7	128225836	128227836	+	ENSMUSG00000034990	Otoa
chr9	92436061	92438061	+	ENSMUSG00000032374	Plod2
chr12	113997866	113999866	+	ENSMUSG00000052160	Pld4
chr8	46969839	46971839	+	ENSMUSG00000031636	Pdlim3
chr1	157004833	157006833	+	ENSMUSG00000026470	Stx6
chr9	110648649	110650649	-	ENSMUSG00000032492	Pth1r
chr4	117555226	117557226	+	ENSMUSG00000085278	Gm12841
chr15	96885387	96887387	-	ENSMUSG00000022464	Slc38a4
chr13	81101991	81103991	-	ENSMUSG00000091211	Gm4211
chr2	172112633	172114633	+	ENSMUSG00000085949	Gm14275
chr6	147127766	147129766	+	ENSMUSG00000085600	E330012B07Rik
chr3	61168873	61170873	-	ENSMUSG00000053706	B430305J03Rik
chr3	95329708	95331708	+	ENSMUSG00000038642	Ctss
chrX	101677157	101679157	+	ENSMUSG00000073016	Uprt
chr17	35337952	35339952	-	ENSMUSG00000024401	Tnf
chr3	122938067	122940067	-	ENSMUSG00000050315	Synpo2
chr17	28653469	28655469	-	ENSMUSG00000024222	Fkbp5
chr4	120260350	120262350	+	ENSMUSG00000091297	Gm8439
chr13	42774992	42776992	+	ENSMUSG00000054728	Phactr1
chr4	146865526	146867526	+	ENSMUSG00000078496	Gm13152
chr1	121969651	121971651	-	ENSMUSG00000050777	Tmem37
chr14	34753225	34755225	+	ENSMUSG00000072625	Gdf2
chr15	99116611	99118611	-	ENSMUSG00000078907	Fam186b
chr7	35437203	35439203	+	ENSMUSG00000085923	Gm12781
chr19	29440880	29442880	-	ENSMUSG00000016495	5033414D02Rik
chr11	69261050	69263050	+	ENSMUSG00000086591	6030455H03Rik
chr7	51779039	51781039	-	ENSMUSG00000038670	Mybpc2
chr1	157373241	157375241	-	ENSMUSG00000073535	Gm5532
chr14	51690117	51692117	-	ENSMUSG00000035932	Olfr750
chr2	62483312	62485312	-	ENSMUSG00000026896	Ifih1
chr13	113522861	113524861	+	ENSMUSG00000069056	Slc38a9
chr11	99792476	99794476	+	ENSMUSG00000086688	Gm11560
chr12	93025827	93027827	-	ENSMUSG00000020961	Ston2
chr6	121585191	121587191	+	ENSMUSG00000030111	A2m
chr4	137922907	137924907	-	ENSMUSG00000028755	Cda
chr4	131907441	131909441	-	ENSMUSG00000065353	Snora73b
chr12	11461885	11463885	+	ENSMUSG00000086022	Rad51ap2
chr3	97031769	97033769	-	ENSMUSG00000038256	Bcl9
chr16	96456408	96458408	+	ENSMUSG00000074892	B3galt5
chr15	39576478	39578478	+	ENSMUSG00000022303	Dcstamp
chr7	148464032	148466032	-	ENSMUSG00000038580	Sct
chr7	149851721	149853721	-	ENSMUSG00000048583	Igf2
chr9	122796589	122798589	+	ENSMUSG00000063488	Zfp167
chr3	152008442	152010442	+	ENSMUSG00000025437	Usp33
chr7	16506751	16508751	-	ENSMUSG00000041571	Sepw1
chr4	62179952	62181952	-	ENSMUSG00000028393	Alad
chr1	145623198	145625198	-	ENSMUSG00000018199	Trove2
chr7	134549336	134551336	-	ENSMUSG00000045757	Zfp764
chr11	62573060	62575060	-	ENSMUSG00000085045	4921522H14Rik
chr9	112020219	112022219	-	ENSMUSG00000065441	Mir128-2
chr7	51845034	51847034	+	ENSMUSG00000062785	Kcnc3
chr16	87783320	87785320	+	ENSMUSG00000055972	2810407A14Rik
chr8	123011766	123013766	+	ENSMUSG00000031822	Gse1
chr9	121403807	121405807	-	ENSMUSG00000032532	Cck
chr2	102389169	102391169	+	ENSMUSG00000027188	Pamr1
chr1	40140613	40142613	+	ENSMUSG00000026073	Il1r2
chr3	89194772	89196772	+	ENSMUSG00000074466	Gm15417
chr8	115092943	115094943	+	ENSMUSG00000031772	Cntnap4
chr4	9195440	9197440	+	ENSMUSG00000041216	Clvs1
chr18	24843783	24845783	-	ENSMUSG00000084472	n-R5s23
chr15	97076718	97078718	-	ENSMUSG00000048218	Amigo2
chr4	41588218	41590218	+	ENSMUSG00000087054	Gm12405
chr11	69748298	69750298	+	ENSMUSG00000018554	Ybx2
chr17	45685348	45687348	-	ENSMUSG00000050405	Tmem151b
chr1	65127862	65129862	-	ENSMUSG00000073658	Crygb
chr7	31203873	31205873	-	ENSMUSG00000064109	Hcst
chr14	73724629	73726629	-	ENSMUSG00000022105	Rb1
chr14	55544625	55546625	-	ENSMUSG00000022203	Efs
chr4	43518838	43520838	+	ENSMUSG00000028463	Car9
chr11	69010345	69012345	-	ENSMUSG00000020891	Alox8
chr13	35117963	35119963	-	ENSMUSG00000021417	Eci2
chr2	84264568	84266568	-	ENSMUSG00000059588	Calcrl
chr16	23109829	23111829	+	ENSMUSG00000087935	Snora81
chr5	107759178	107761178	+	ENSMUSG00000029279	Brdt
chr16	10488876	10490876	+	ENSMUSG00000075404	Ciita
chr13	48720033	48722033	-	ENSMUSG00000038042	Ptpdc1
chr19	27289974	27291974	+	ENSMUSG00000024924	Vldlr
chr10	119197755	119199755	-	ENSMUSG00000084764	4930564G21Rik
chr9	44058547	44060547	-	ENSMUSG00000032105	Pdzd3
chr6	48344585	48346585	+	ENSMUSG00000042810	Krba1
chr9	99528915	99530915	+	ENSMUSG00000037784	Dzip1l
chr13	21844776	21846776	-	ENSMUSG00000063021	Hist1h2ak
chr18	73913133	73915133	-	ENSMUSG00000036941	Elac1
chr15	82918936	82920936	+	ENSMUSG00000058586	Serhl
chr16	10313061	10315061	-	ENSMUSG00000022505	Emp2
chr3	91827489	91829489	+	ENSMUSG00000082826	Gm6097
chr11	69760690	69762690	-	ENSMUSG00000018566	Slc2a4
chr16	14704945	14706945	+	ENSMUSG00000022676	Snai2
chrX	141938724	141940724	-	ENSMUSG00000041688	Amot
chr9	95744730	95746730	-	ENSMUSG00000049493	Pls1
chr11	98306708	98308708	+	ENSMUSG00000019312	Grb7
chr13	21493624	21495624	-	ENSMUSG00000021327	Zkscan3
chr7	87549322	87551322	-	ENSMUSG00000030530	Furin
chr3	27794290	27796290	-	ENSMUSG00000043164	Tmem212
chr9	50909183	50911183	-	ENSMUSG00000032057	4833427G06Rik
chr11	96977229	96979229	-	ENSMUSG00000084368	Gm11572
chr14	55530969	55532969	-	ENSMUSG00000022199	Slc22a17
chr1	152839565	152841565	-	ENSMUSG00000066842	Hmcn1
chr7	31571924	31573924	+	ENSMUSG00000074199	Krtdap
chr19	7630949	7632949	+	ENSMUSG00000060675	Pla2g16
chr6	112222752	112224752	+	ENSMUSG00000057604	Lmcd1
chr10	75807036	75809036	-	ENSMUSG00000020231	Dip2a
chr5	107354340	107356340	-	ENSMUSG00000043410	Hfm1
chr3	123392770	123394770	-	ENSMUSG00000027977	Ndst3
chr4	154782299	154784299	+	ENSMUSG00000042233	2010015L04Rik
chr2	124961428	124963428	+	ENSMUSG00000074872	Ctxn2
chr5	63156437	63158437	-	ENSMUSG00000037999	Arap2
chr4	128813243	128815243	+	ENSMUSG00000001334	Fndc5
chr11	4340108	4342108	-	ENSMUSG00000020419	Hormad2
chr3	137529639	137531639	+	ENSMUSG00000074212	Dnajb14
chr10	81037685	81039685	-	ENSMUSG00000090034	Gm15917
chr5	148705391	148707391	-	ENSMUSG00000029650	Slc46a3
chr15	74629416	74631416	-	ENSMUSG00000044678	Ly6k
chr11	96710707	96712707	+	ENSMUSG00000065515	Mir152
chr11	77741790	77743790	-	ENSMUSG00000055045	Gm11190
chr2	34848493	34850493	+	ENSMUSG00000085599	Gm13449
chr1	37972338	37974338	-	ENSMUSG00000061584	Lyg2
chr11	98561577	98563577	+	ENSMUSG00000038067	Csf3
chr4	120623304	120625304	-	ENSMUSG00000064141	Zfp69
chr12	38605761	38607761	+	ENSMUSG00000036095	Dgkb
chr15	78777154	78779154	+	ENSMUSG00000033088	Triobp
chr5	105829264	105831264	+	ENSMUSG00000086871	Gm16834
chr12	112778152	112780152	+	ENSMUSG00000064493	Snora28
chr2	51892529	51894529	+	ENSMUSG00000053475	Tnfaip6
chr10	93293300	93295300	+	ENSMUSG00000020020	Usp44
chr2	131734693	131736693	+	ENSMUSG00000027338	Prnd
chr3	135353511	135355511	-	ENSMUSG00000028163	Nfkb1
chr18	37453494	37455494	+	ENSMUSG00000051599	Pcdhb2
chr12	102016267	102018267	+	ENSMUSG00000021185	9030617O03Rik
chr4	61495267	61497267	-	ENSMUSG00000058523	Mup5
chr3	89567554	89569554	-	ENSMUSG00000027950	Chrnb2
chr11	69618126	69620126	-	ENSMUSG00000089876	Tmem102
chr2	11020891	11022891	-	ENSMUSG00000083900	Gm13294
chr8	74008966	74010966	-	ENSMUSG00000034863	Ano8
chr1	39776842	39778842	-	ENSMUSG00000057173	Rfx8
chr2	62501342	62503342	+	ENSMUSG00000026893	Gca
chr11	32175400	32177400	+	ENSMUSG00000055609	Hba-x
chr10	61884239	61886239	-	ENSMUSG00000020080	Hkdc1
chr2	109512323	109514323	+	ENSMUSG00000093410	Gm20638
chr14	55501278	55503278	+	ENSMUSG00000092232	Gm20521
chr17	27658518	27660518	+	ENSMUSG00000082177	Gm16005
chr4	147503493	147505493	+	ENSMUSG00000029003	Mad2l2
chr11	113069983	113071983	-	ENSMUSG00000085421	4732490B19Rik
chr11	94253311	94255311	-	ENSMUSG00000020865	Abcc3
chr4	118362068	118364068	-	ENSMUSG00000043383	Olfr1342
chr11	99996263	99998263	-	ENSMUSG00000054146	Krt15
chr1	151946254	151948254	+	ENSMUSG00000032487	Ptgs2
chr9	50884199	50886199	-	ENSMUSG00000060594	Layn
chr2	131734664	131736664	+	ENSMUSG00000079037	Prnp
chr4	100199406	100201406	-	ENSMUSG00000085871	Gm12698
chr11	69372707	69374707	-	ENSMUSG00000003934	Efnb3
chr15	5057539	5059539	-	ENSMUSG00000041849	Card6
chr13	51265394	51267394	+	ENSMUSG00000021396	Nxnl2
chr16	23519676	23521676	-	ENSMUSG00000022887	Masp1
chr19	6542019	6544019	-	ENSMUSG00000061742	Slc22a12
chr11	58767014	58769014	-	ENSMUSG00000080712	Hist3h2bb-ps
chr7	107433030	107435030	+	ENSMUSG00000051048	P4ha3
chr9	40075801	40077801	+	ENSMUSG00000049281	Scn3b
chr5	116481322	116483322	-	ENSMUSG00000090728	Gm17420
chr1	138856004	138858004	-	ENSMUSG00000026398	Nr5a2
chr4	132357169	132359169	-	ENSMUSG00000081647	Gm13022
chr5	75969941	75971941	+	ENSMUSG00000005672	Kit
chr5	5748326	5750326	-	ENSMUSG00000015652	Steap1
chr10	77364281	77366281	-	ENSMUSG00000051652	Lrrc3
chr12	85440604	85442604	+	ENSMUSG00000043487	Acot6
chr9	78462353	78464353	+	ENSMUSG00000046186	Cd109
chr2	129524580	129526580	-	ENSMUSG00000027400	Pdyn
chr18	78034482	78036482	-	ENSMUSG00000073529	F830208F22Rik
chr3	107698131	107700131	-	ENSMUSG00000086968	4933431E20Rik
chr5	137472256	137474256	+	ENSMUSG00000087244	Gm7284
chr13	9763567	9765567	-	ENSMUSG00000021156	Zmynd11
chr7	31146791	31148791	-	ENSMUSG00000036957	Lrfn3
chr1	134401807	134403807	+	ENSMUSG00000048174	Tmem81
chr18	43846427	43848427	-	ENSMUSG00000024502	Jakmip2
chr11	8947994	8949994	-	ENSMUSG00000040985	Sun3
chr3	98025079	98027079	+	ENSMUSG00000027876	Reg4
chr7	3217627	3219627	+	ENSMUSG00000077815	Mir290
chr4	107459454	107461454	+	ENSMUSG00000087289	4933424M12Rik
chr11	28752204	28754204	+	ENSMUSG00000020467	Efemp1
chr9	75861662	75863662	+	ENSMUSG00000007908	Hmgcll1
chr7	147267447	147269447	-	ENSMUSG00000025468	Caly
chr2	61883519	61885519	+	ENSMUSG00000026904	Slc4a10
chr4	95632931	95634931	+	ENSMUSG00000028572	Hook1
chr11	8910194	8912194	-	ENSMUSG00000020413	Hus1
chr15	102196285	102198285	-	ENSMUSG00000060284	Sp7
chr1	60098931	60100931	-	ENSMUSG00000026018	Ica1l
chr15	54109039	54111039	-	ENSMUSG00000063727	Tnfrsf11b
chr6	34869163	34871163	+	ENSMUSG00000029848	Stra8
chr3	145770094	145772094	-	ENSMUSG00000043020	Wdr63
chr14	66423674	66425674	+	ENSMUSG00000022033	Pbk
chr11	3095827	3097827	-	ENSMUSG00000082658	Fau-ps2
chr12	77424878	77426878	+	ENSMUSG00000021057	Akap5
chr14	73108810	73110810	-	ENSMUSG00000033487	Fndc3a
chr17	56124934	56126934	+	ENSMUSG00000011589	Fsd1
chr15	34766110	34768110	+	ENSMUSG00000050963	Kcns2
chr9	32179003	32181003	+	ENSMUSG00000041248	Kcnj1
chr2	180558335	180560335	-	ENSMUSG00000074507	Gm14340
chr2	26062809	26064809	-	ENSMUSG00000026934	Lhx3
chr10	120335213	120337213	+	ENSMUSG00000086522	Gm4473
chr15	77786152	77788152	-	ENSMUSG00000016552	Foxred2
chr11	69418444	69420444	-	ENSMUSG00000041329	Atp1b2
chr16	36989553	36991553	-	ENSMUSG00000047746	Fbxo40
chr10	115454269	115456269	+	ENSMUSG00000020151	Ptprr
chr8	55685340	55687340	-	ENSMUSG00000089708	5330439A09Rik
chr15	99500149	99502149	+	ENSMUSG00000023017	Accn2
chr3	97431727	97433727	+	ENSMUSG00000028088	Fmo5
chr9	81756277	81758277	+	ENSMUSG00000043289	Mei4
chr9	107346362	107348362	-	ENSMUSG00000091425	Gm17118
chr7	26182729	26184729	-	ENSMUSG00000003123	Lipe
chr14	66043046	66045046	-	ENSMUSG00000045731	Pnoc
chr4	146865310	146867310	-	ENSMUSG00000084976	Gm16889
chr5	73871241	73873241	+	ENSMUSG00000051674	Dcun1d4
chr4	132351302	132353302	-	ENSMUSG00000037731	BC013712
chr15	101680217	101682217	-	ENSMUSG00000046834	Krt1
chr7	51065814	51067814	+	ENSMUSG00000030713	Klk7
chr5	115684845	115686845	+	ENSMUSG00000060152	Pop5
chr1	61434276	61436276	+	ENSMUSG00000085447	9530026F06Rik
chr5	37632319	37634319	+	ENSMUSG00000029121	Crmp1
chr1	90405461	90407461	-	ENSMUSG00000062310	Glrp1
chr15	75838499	75840499	+	ENSMUSG00000075594	K230010J24Rik
chr5	68237305	68239305	+	ENSMUSG00000087261	Gm15477
chr4	111086611	111088611	+	ENSMUSG00000028545	Bend5
chr17	72101225	72103225	-	ENSMUSG00000044375	BC027072
chr14	47808088	47810088	-	ENSMUSG00000037580	Gch1
chr3	50246535	50248535	-	ENSMUSG00000027737	Slc7a11
chr15	18747527	18749527	-	ENSMUSG00000084873	C030047K22Rik
chr5	123063527	123065527	-	ENSMUSG00000029469	Ift81
chr3	137283576	137285576	+	ENSMUSG00000046818	Ddit4l
chr1	16509193	16511193	-	ENSMUSG00000025920	Stau2
chr15	36069155	36071155	-	ENSMUSG00000037627	Rgs22
chr9	102736247	102738247	+	ENSMUSG00000032547	Ryk
chr13	23801723	23803723	-	ENSMUSG00000006611	Hfe
chr5	77550373	77552373	-	ENSMUSG00000085858	Gm15831
chr11	57885439	57887439	-	ENSMUSG00000086962	Gm12248
chr11	61020039	61022039	+	ENSMUSG00000019102	Aldh3a1
chr2	132705627	132707627	-	ENSMUSG00000043110	Lrrn4
chr1	179373792	179375792	+	ENSMUSG00000063659	Zfp238
chr11	58702212	58704212	+	ENSMUSG00000087654	Gm12256
chr11	45281006	45283006	-	ENSMUSG00000085476	Gm12162
chr12	117045791	117047791	-	ENSMUSG00000091087	Ighv8-14
chr7	31229580	31231580	-	ENSMUSG00000006651	Aplp1
chr9	21902725	21904725	+	ENSMUSG00000001349	Cnn1
chr13	81771153	81773153	-	ENSMUSG00000069170	Gpr98
chr19	16017100	16019100	+	ENSMUSG00000090147	Gm3329
chr4	88513283	88515283	-	ENSMUSG00000054351	4930553M12Rik
chr12	53799370	53801370	+	ENSMUSG00000061603	Akap6
chr8	98199880	98201880	+	ENSMUSG00000036564	Ndrg4
chr5	74590321	74592321	+	ENSMUSG00000049907	Rasl11b
chr13	51502987	51504987	+	ENSMUSG00000067586	S1pr3
chr2	127249935	127251935	+	ENSMUSG00000046338	Gpat2
chr4	140643248	140645248	+	ENSMUSG00000045004	Spata21
chr16	19759301	19761301	+	ENSMUSG00000022686	B3gnt5
chr1	43786447	43788447	+	ENSMUSG00000026051	1500015O10Rik
chr10	93870636	93872636	+	ENSMUSG00000085409	Gm16155
chr14	56442632	56444632	+	ENSMUSG00000023411	Nfatc4
chr2	60800261	60802261	-	ENSMUSG00000026970	Rbms1
chr9	70503058	70505058	+	ENSMUSG00000074213	Gm10642
chr1	93262007	93264007	+	ENSMUSG00000047443	Fam132b
chr13	22107559	22109559	+	ENSMUSG00000086508	Gm11291
chr9	48772095	48774095	-	ENSMUSG00000008590	Htr3b
chr12	85103584	85105584	+	ENSMUSG00000021223	Papln
chr18	47008693	47010693	+	ENSMUSG00000024481	4833403I15Rik
chr11	96324861	96326861	-	ENSMUSG00000075586	Gm11529
chr18	32974037	32976037	+	ENSMUSG00000024379	Tslp
chr3	3507030	3509030	+	ENSMUSG00000017688	Hnf4g
chr12	82960017	82962017	+	ENSMUSG00000021140	Pcnx
chr10	77814234	77816234	-	ENSMUSG00000001211	Agpat3
chr3	46250863	46252863	-	ENSMUSG00000090919	Pabpc4l
chr11	5468687	5470687	+	ENSMUSG00000020481	Ankrd36
chr11	85532246	85534246	-	ENSMUSG00000086199	8430403D17Rik
chr2	158490134	158492134	+	ENSMUSG00000037754	Ppp1r16b
chr13	113998867	114000867	+	ENSMUSG00000042379	Esm1
chr2	91296668	91298668	+	ENSMUSG00000027253	Lrp4
chr6	92892486	92894486	-	ENSMUSG00000030022	Adamts9
chr11	96710184	96712184	+	ENSMUSG00000018672	Copz2
chr8	108938239	108940239	+	ENSMUSG00000031907	Zfp90
chr3	129763471	129765471	-	ENSMUSG00000001052	Sec24b
chr11	100623245	100625245	-	ENSMUSG00000045471	Hcrt
chr2	35834433	35836433	-	ENSMUSG00000026885	Ttll11
chr13	96660877	96662877	-	ENSMUSG00000021676	Iqgap2
chr10	61057232	61059232	+	ENSMUSG00000020090	Npffr1
chr2	21062581	21064581	-	ENSMUSG00000086821	Gm13377
chr3	95707614	95709614	-	ENSMUSG00000038526	Car14
chr2	22148130	22150130	+	ENSMUSG00000025716	Myo3a
chr1	137901919	137903919	-	ENSMUSG00000051985	Igfn1
chr7	19864398	19866398	-	ENSMUSG00000030402	Ppm1n
chr2	178974195	178976195	+	ENSMUSG00000081481	Gm14293
chr19	42505273	42507273	-	ENSMUSG00000042401	Crtac1
chr4	45977206	45979206	+	ENSMUSG00000035517	Tdrd7
chr3	88963118	88965118	-	ENSMUSG00000028051	Hcn3
chr1	196801569	196803569	+	ENSMUSG00000073474	A330023F24Rik
chr9	53108775	53110775	+	ENSMUSG00000034584	Exph5
chr12	86446381	86448381	-	ENSMUSG00000042320	Prox2
chr2	35412786	35414786	+	ENSMUSG00000026883	Dab2ip
chr7	69608396	69610396	-	ENSMUSG00000070526	Peg12
chr15	84061473	84063473	+	ENSMUSG00000022438	Parvb
chr5	149805799	149807799	-	ENSMUSG00000041298	Katnal1
chr18	58818136	58820136	+	ENSMUSG00000024601	Isoc1
chr4	128330982	128332982	+	ENSMUSG00000028796	Phc2
chr3	79645584	79647584	-	ENSMUSG00000027956	Tmem144
chr7	3217920	3219920	+	ENSMUSG00000078008	Mir291a
chr2	152289356	152291356	-	ENSMUSG00000074681	Defb23
chr19	8799356	8801356	+	ENSMUSG00000065087	Snord22
chr1	165991207	165993207	+	ENSMUSG00000026581	Sell
chr6	41491162	41493162	+	ENSMUSG00000076491	Trbd2
chr10	79432460	79434460	+	ENSMUSG00000035745	Grin3b
chr9	75530803	75532803	-	ENSMUSG00000032181	Scg3
chr11	88603683	88605683	-	ENSMUSG00000085646	Gm11493
chr5	14513918	14515918	+	ENSMUSG00000061601	Pclo
chr13	84543444	84545444	+	ENSMUSG00000091767	Gm17618
chr2	120801753	120803753	+	ENSMUSG00000054484	Tmem62
chr10	27335748	27337748	-	ENSMUSG00000019899	Lama2
chr4	142978321	142980321	+	ENSMUSG00000081792	Anp32b-ps1
chr13	65004196	65006196	-	ENSMUSG00000033063	Cntnap3
chr14	34259344	34261344	-	ENSMUSG00000021936	Mapk8
chr9	58401606	58403606	+	ENSMUSG00000074273	Gm10657
